task,seed,method,epochs,train_row_count,validation_loss,test_loss,test_perplexity,test_top1_accuracy,test_mrr,test_mean_target_probability,final_training_loss
phase_cued_retrieval,317,phasewrap_adapter,45,8,4.564349,4.564351,96.000286,0.125,0.146589,0.010417,4.564314
phase_cued_retrieval,331,no_position,45,8,4.564341,4.564328,95.998048,0.0,0.057307,0.010417,4.5643
phase_cued_retrieval,331,sinusoidal,45,8,4.564341,4.564328,95.998049,0.0,0.057307,0.010417,4.5643
phase_cued_retrieval,331,alibi,45,8,4.564341,4.564328,95.998049,0.0,0.057307,0.010417,4.5643
phase_cued_retrieval,331,rope,45,8,4.564341,4.564328,95.998049,0.0,0.057307,0.010417,4.5643
phase_cued_retrieval,331,phasewrap_bias,45,8,4.564341,4.564328,95.998048,0.0,0.057307,0.010417,4.5643
phase_cued_retrieval,331,phasewrap_adapter,45,8,4.564341,4.564328,95.998048,0.0,0.057307,0.010417,4.5643
exact_offset_passkey,307,no_position,45,8,4.56433,4.564363,96.001463,0.0,0.025154,0.010417,4.564294
exact_offset_passkey,307,sinusoidal,45,8,4.56433,4.564363,96.001462,0.0,0.025154,0.010417,4.564294
exact_offset_passkey,307,alibi,45,8,4.56433,4.564363,96.001461,0.0,0.025154,0.010417,4.564294
exact_offset_passkey,307,rope,45,8,4.56433,4.564363,96.001462,0.0,0.025154,0.010417,4.564294
exact_offset_passkey,307,phasewrap_bias,45,8,4.56433,4.564364,96.001479,0.0,0.025049,0.010417,4.564294
exact_offset_passkey,307,phasewrap_adapter,45,8,4.56433,4.564364,96.001478,0.0,0.025049,0.010417,4.564294
exact_offset_passkey,311,no_position,45,8,4.564337,4.5644,96.004956,0.0,0.017072,0.010416,4.564355
exact_offset_passkey,311,sinusoidal,45,8,4.564337,4.5644,96.00496,0.0,0.017037,0.010416,4.564355
exact_offset_passkey,311,alibi,45,8,4.564337,4.5644,96.004958,0.0,0.017072,0.010416,4.564355
exact_offset_passkey,311,rope,45,8,4.564337,4.5644,96.004957,0.0,0.017072,0.010416,4.564355
exact_offset_passkey,311,phasewrap_bias,45,8,4.564338,4.5644,96.004951,0.0,0.017072,0.010416,4.564355
exact_offset_passkey,311,phasewrap_adapter,45,8,4.564338,4.5644,96.004951,0.0,0.017072,0.010416,4.564355
exact_offset_passkey,313,no_position,45,8,4.564351,4.564329,95.998134,0.0,0.057714,0.010417,4.564293
exact_offset_passkey,313,sinusoidal,45,8,4.564351,4.564329,95.998127,0.0,0.057377,0.010417,4.564293
exact_offset_passkey,313,alibi,45,8,4.564351,4.564328,95.998106,0.0,0.057493,0.010417,4.564293
exact_offset_passkey,313,rope,45,8,4.564351,4.564329,95.998146,0.0,0.057184,0.010417,4.564293
exact_offset_passkey,313,phasewrap_bias,45,8,4.564353,4.564329,95.99819,0.0,0.050958,0.010417,4.564294
exact_offset_passkey,313,phasewrap_adapter,45,8,4.564353,4.564329,95.998193,0.0,0.050991,0.010417,4.564294
exact_offset_passkey,317,no_position,45,8,4.564368,4.564363,96.001386,0.0,0.031791,0.010417,4.564357
exact_offset_passkey,317,sinusoidal,45,8,4.564368,4.564365,96.001577,0.0,0.031619,0.010416,4.564358
exact_offset_passkey,317,alibi,45,8,4.564371,4.564362,96.001361,0.0,0.031837,0.010417,4.564357
exact_offset_passkey,317,rope,45,8,4.564368,4.564363,96.001394,0.0,0.03174,0.010417,4.564357
exact_offset_passkey,317,phasewrap_bias,45,8,4.564369,4.564361,96.001219,0.0,0.030893,0.010417,4.564359
exact_offset_passkey,317,phasewrap_adapter,45,8,4.564369,4.564361,96.001222,0.0,0.030893,0.010417,4.564359
exact_offset_passkey,331,no_position,45,8,4.564364,4.564366,96.001703,0.0,0.026244,0.010416,4.56433
exact_offset_passkey,331,sinusoidal,45,8,4.564364,4.564366,96.001703,0.0,0.026244,0.010416,4.56433
exact_offset_passkey,331,alibi,45,8,4.564364,4.564366,96.001703,0.0,0.026244,0.010416,4.56433
exact_offset_passkey,331,rope,45,8,4.564364,4.564366,96.001704,0.0,0.026244,0.010416,4.56433
exact_offset_passkey,331,phasewrap_bias,45,8,4.564364,4.564366,96.001703,0.0,0.026244,0.010416,4.56433
exact_offset_passkey,331,phasewrap_adapter,45,8,4.564364,4.564366,96.001703,0.0,0.026244,0.010416,4.56433
