task,seed,method,stage10_method_alias,train_row_count,validation_row_count,test_row_count,train_loss,train_perplexity,train_top1_accuracy,train_mrr,train_mean_target_probability,train_mean_top1_confidence,train_expected_calibration_error,validation_loss,validation_perplexity,validation_top1_accuracy,validation_mrr,validation_mean_target_probability,validation_mean_top1_confidence,validation_expected_calibration_error,test_loss,test_perplexity,test_top1_accuracy,test_mrr,test_mean_target_probability,test_mean_top1_confidence,test_expected_calibration_error
tiny_text_fact_qa,307,no_position,no_position,12,6,12,27.631021,999999999999.999,0.0,0.00989,0.0,1.0,1.0,27.631021,999999999999.999,0.0,0.00989,0.0,1.0,1.0,27.631021,999999999999.999,0.0,0.009874,0.0,1.0,1.0
tiny_text_fact_qa,307,sinusoidal,sinusoidal,12,6,12,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,4.60517,100.0,0.833333,0.834975,0.833333,1.0,0.166667
tiny_text_fact_qa,307,alibi,alibi,12,6,12,27.631021,999999999999.999,0.0,0.00989,0.0,1.0,1.0,27.631021,999999999999.999,0.0,0.00989,0.0,1.0,1.0,27.631021,999999999999.999,0.0,0.00989,0.0,1.0,1.0
tiny_text_fact_qa,307,rope_relative,rope,12,6,12,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
tiny_text_fact_qa,307,phasewrap_bias,phasewrap_bias,12,6,12,27.631021,999999999999.999,0.0,0.009882,0.0,1.0,1.0,27.631021,999999999999.999,0.0,0.00989,0.0,1.0,1.0,27.631021,999999999999.999,0.0,0.009873,0.0,1.0,1.0
tiny_text_fact_qa,307,phasewrap_adapter,phasewrap_adapter,12,6,12,27.631021,999999999999.999,0.0,0.009882,0.0,1.0,1.0,27.631021,999999999999.999,0.0,0.00989,0.0,1.0,1.0,27.631021,999999999999.999,0.0,0.009865,0.0,1.0,1.0
tiny_text_fact_qa,311,no_position,no_position,12,6,12,27.631021,999999999999.999,0.0,0.010013,0.0,1.0,1.0,27.631021,999999999999.999,0.0,0.010022,0.0,1.0,1.0,27.631021,999999999999.999,0.0,0.010022,0.0,1.0,1.0
tiny_text_fact_qa,311,sinusoidal,sinusoidal,12,6,12,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,4.60517,100.0,0.833333,0.834994,0.833333,1.0,0.166667
tiny_text_fact_qa,311,alibi,alibi,12,6,12,27.631021,999999999999.999,0.0,0.010022,0.0,1.0,1.0,27.631021,999999999999.999,0.0,0.010022,0.0,1.0,1.0,27.631021,999999999999.999,0.0,0.010022,0.0,1.0,1.0
tiny_text_fact_qa,311,rope_relative,rope,12,6,12,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
tiny_text_fact_qa,311,phasewrap_bias,phasewrap_bias,12,6,12,27.631021,999999999999.999,0.0,0.010022,0.0,1.0,1.0,27.631021,999999999999.999,0.0,0.010005,0.0,1.0,1.0,27.631021,999999999999.999,0.0,0.010004,0.0,1.0,1.0
tiny_text_fact_qa,311,phasewrap_adapter,phasewrap_adapter,12,6,12,27.631021,999999999999.999,0.0,0.010022,0.0,1.0,1.0,27.631021,999999999999.999,0.0,0.009989,0.0,1.0,1.0,27.631021,999999999999.999,0.0,0.010013,0.0,1.0,1.0
tiny_text_fact_qa,313,no_position,no_position,12,6,12,27.631021,999999999999.999,0.0,0.009945,0.0,1.0,1.0,27.631021,999999999999.999,0.0,0.009953,0.0,1.0,1.0,27.631021,999999999999.999,0.0,0.009945,0.0,1.0,1.0
tiny_text_fact_qa,313,sinusoidal,sinusoidal,12,6,12,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,9.21034,10000.0,0.666667,0.669992,0.666667,1.0,0.333333
tiny_text_fact_qa,313,alibi,alibi,12,6,12,27.631021,999999999999.999,0.0,0.009953,0.0,1.0,1.0,27.631021,999999999999.999,0.0,0.009953,0.0,1.0,1.0,27.631021,999999999999.999,0.0,0.009953,0.0,1.0,1.0
tiny_text_fact_qa,313,rope_relative,rope,12,6,12,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
tiny_text_fact_qa,313,phasewrap_bias,phasewrap_bias,12,6,12,27.631021,999999999999.999,0.0,0.009945,0.0,1.0,1.0,27.631021,999999999999.999,0.0,0.009936,0.0,1.0,1.0,27.631021,999999999999.999,0.0,0.009945,0.0,1.0,1.0
tiny_text_fact_qa,313,phasewrap_adapter,phasewrap_adapter,12,6,12,27.631021,999999999999.999,0.0,0.009945,0.0,1.0,1.0,27.631021,999999999999.999,0.0,0.009921,0.0,1.0,1.0,27.631021,999999999999.999,0.0,0.009953,0.0,1.0,1.0
tiny_text_fact_qa,317,no_position,no_position,12,6,12,27.631021,999999999999.999,0.0,0.009948,0.0,1.0,1.0,27.631021,999999999999.999,0.0,0.009957,0.0,1.0,1.0,27.631021,999999999999.999,0.0,0.009957,0.0,1.0,1.0
tiny_text_fact_qa,317,sinusoidal,sinusoidal,12,6,12,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,6.907755,1000.0,0.75,0.752485,0.75,1.0,0.25
tiny_text_fact_qa,317,alibi,alibi,12,6,12,27.631021,999999999999.999,0.0,0.009957,0.0,1.0,1.0,27.631021,999999999999.999,0.0,0.009957,0.0,1.0,1.0,27.631021,999999999999.999,0.0,0.009957,0.0,1.0,1.0
tiny_text_fact_qa,317,rope_relative,rope,12,6,12,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
tiny_text_fact_qa,317,phasewrap_bias,phasewrap_bias,12,6,12,27.631021,999999999999.999,0.0,0.009949,0.0,1.0,1.0,27.631021,999999999999.999,0.0,0.009957,0.0,1.0,1.0,27.631021,999999999999.999,0.0,0.009948,0.0,1.0,1.0
tiny_text_fact_qa,317,phasewrap_adapter,phasewrap_adapter,12,6,12,27.631021,999999999999.999,0.0,0.009949,0.0,1.0,1.0,27.631021,999999999999.999,0.0,0.009957,0.0,1.0,1.0,27.631021,999999999999.999,0.0,0.009948,0.0,1.0,1.0
tiny_text_fact_qa,331,no_position,no_position,12,6,12,27.631021,999999999999.999,0.0,0.009881,0.0,1.0,1.0,27.631021,999999999999.999,0.0,0.00989,0.0,1.0,1.0,25.328436,99999999999.9998,0.083333,0.092389,0.083333,1.0,0.916667
tiny_text_fact_qa,331,sinusoidal,sinusoidal,12,6,12,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,2.302585,10.0,0.916667,0.9175,0.916667,1.0,0.083333
tiny_text_fact_qa,331,alibi,alibi,12,6,12,27.631021,999999999999.999,0.0,0.00989,0.0,1.0,1.0,27.631021,999999999999.999,0.0,0.00989,0.0,1.0,1.0,27.631021,999999999999.999,0.0,0.00989,0.0,1.0,1.0
tiny_text_fact_qa,331,rope_relative,rope,12,6,12,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
tiny_text_fact_qa,331,phasewrap_bias,phasewrap_bias,12,6,12,27.631021,999999999999.999,0.0,0.009873,0.0,1.0,1.0,27.631021,999999999999.999,0.0,0.009872,0.0,1.0,1.0,27.631021,999999999999.999,0.0,0.009882,0.0,1.0,1.0
tiny_text_fact_qa,331,phasewrap_adapter,phasewrap_adapter,12,6,12,27.631021,999999999999.999,0.0,0.009873,0.0,1.0,1.0,27.631021,999999999999.999,0.0,0.00989,0.0,1.0,1.0,27.631021,999999999999.999,0.0,0.009872,0.0,1.0,1.0
