task,split,seed,method,example_id,sequence_length,query_pos,reference_delta,target_delta,target_pos,label_token,target_probability,target_rank,top1_hit,top1_confidence,chosen_pos,chosen_delta,chosen_token,chosen_bias
phase_cued_retrieval,validation,307,sinusoidal,phase_cued_retrieval_validation_seed307_L40_001,40,39,16,16,23,82,1.0,1,1.0,1.0,23,16,82,1.0
phase_cued_retrieval,validation,307,sinusoidal,phase_cued_retrieval_validation_seed307_L40_002,40,39,19,19,20,92,1.0,1,1.0,1.0,20,19,92,1.0
phase_cued_retrieval,validation,307,sinusoidal,phase_cued_retrieval_validation_seed307_L40_003,40,39,5,29,10,109,0.0,110,0.0,1.0,2,37,87,1.0
phase_cued_retrieval,validation,307,sinusoidal,phase_cued_retrieval_validation_seed307_L40_004,40,39,7,31,8,6,0.0,8,0.0,1.0,0,39,90,1.0
phase_cued_retrieval,validation,307,sinusoidal,phase_cued_retrieval_validation_seed307_L40_005,40,39,8,32,7,14,0.0,16,0.0,1.0,31,8,102,1.0
phase_cued_retrieval,test,307,sinusoidal,phase_cued_retrieval_test_seed307_L48_000,48,47,16,40,7,75,0.0,76,0.0,1.0,31,16,68,1.0
phase_cued_retrieval,test,307,sinusoidal,phase_cued_retrieval_test_seed307_L48_001,48,47,19,43,4,85,0.0,87,0.0,1.0,28,19,91,1.0
phase_cued_retrieval,test,307,sinusoidal,phase_cued_retrieval_test_seed307_L48_002,48,47,5,29,18,78,0.0,80,0.0,1.0,10,37,108,1.0
phase_cued_retrieval,test,307,sinusoidal,phase_cued_retrieval_test_seed307_L48_003,48,47,7,31,16,87,0.0,88,0.0,1.0,8,39,68,1.0
phase_cued_retrieval,test,307,sinusoidal,phase_cued_retrieval_test_seed307_L48_004,48,47,8,32,15,95,0.0,96,0.0,1.0,7,40,0,1.0
phase_cued_retrieval,test,307,sinusoidal,phase_cued_retrieval_test_seed307_L48_005,48,47,11,35,12,105,0.0,106,0.0,1.0,4,43,24,1.0
phase_cued_retrieval,test,307,sinusoidal,phase_cued_retrieval_test_seed307_L64_000,64,63,5,53,10,40,0.0,42,0.0,1.0,26,37,72,1.0
phase_cued_retrieval,test,307,sinusoidal,phase_cued_retrieval_test_seed307_L64_001,64,63,7,55,8,49,0.0,50,0.0,1.0,24,39,2,1.0
phase_cued_retrieval,test,307,sinusoidal,phase_cued_retrieval_test_seed307_L64_002,64,63,8,56,7,57,0.0,58,0.0,1.0,23,40,5,1.0
phase_cued_retrieval,test,307,sinusoidal,phase_cued_retrieval_test_seed307_L64_003,64,63,11,59,4,67,0.0,69,0.0,1.0,20,43,86,1.0
phase_cued_retrieval,test,307,sinusoidal,phase_cued_retrieval_test_seed307_L64_004,64,63,12,60,3,75,0.0,77,0.0,1.0,19,44,91,1.0
phase_cued_retrieval,test,307,sinusoidal,phase_cued_retrieval_test_seed307_L64_005,64,63,16,40,23,62,0.0,64,0.0,1.0,15,48,83,1.0
phase_cued_retrieval,train,307,alibi,phase_cued_retrieval_train_seed307_L24_000,24,23,8,8,15,3,0.0,5,0.0,1.0,22,1,107,-0.043478
phase_cued_retrieval,train,307,alibi,phase_cued_retrieval_train_seed307_L24_001,24,23,11,11,12,13,0.0,15,0.0,1.0,22,1,52,-0.043478
phase_cued_retrieval,train,307,alibi,phase_cued_retrieval_train_seed307_L24_002,24,23,12,12,11,21,0.0,23,0.0,1.0,22,1,32,-0.043478
phase_cued_retrieval,train,307,alibi,phase_cued_retrieval_train_seed307_L24_003,24,23,16,16,7,32,0.0,34,0.0,1.0,22,1,77,-0.043478
phase_cued_retrieval,train,307,alibi,phase_cued_retrieval_train_seed307_L24_004,24,23,19,19,4,42,0.0,44,0.0,1.0,22,1,110,-0.043478
phase_cued_retrieval,train,307,alibi,phase_cued_retrieval_train_seed307_L24_005,24,23,5,5,18,35,0.0,37,0.0,1.0,22,1,76,-0.043478
phase_cued_retrieval,train,307,alibi,phase_cued_retrieval_train_seed307_L32_000,32,31,11,11,20,94,0.0,95,0.0,1.0,30,1,76,-0.032258
phase_cued_retrieval,train,307,alibi,phase_cued_retrieval_train_seed307_L32_001,32,31,12,12,19,102,0.0,104,0.0,1.0,30,1,105,-0.032258
phase_cued_retrieval,train,307,alibi,phase_cued_retrieval_train_seed307_L32_002,32,31,16,16,15,1,0.0,3,0.0,1.0,30,1,71,-0.032258
phase_cued_retrieval,train,307,alibi,phase_cued_retrieval_train_seed307_L32_003,32,31,19,19,12,11,0.0,13,0.0,1.0,30,1,51,-0.032258
phase_cued_retrieval,train,307,alibi,phase_cued_retrieval_train_seed307_L32_004,32,31,5,29,2,28,0.0,30,0.0,1.0,30,1,49,-0.032258
phase_cued_retrieval,train,307,alibi,phase_cued_retrieval_train_seed307_L32_005,32,31,7,7,24,13,0.0,15,0.0,1.0,30,1,19,-0.032258
phase_cued_retrieval,validation,307,alibi,phase_cued_retrieval_validation_seed307_L40_000,40,39,12,36,3,95,0.0,96,0.0,1.0,38,1,23,-0.025641
phase_cued_retrieval,validation,307,alibi,phase_cued_retrieval_validation_seed307_L40_001,40,39,16,16,23,82,0.0,83,0.0,1.0,38,1,28,-0.025641
phase_cued_retrieval,validation,307,alibi,phase_cued_retrieval_validation_seed307_L40_002,40,39,19,19,20,92,0.0,93,0.0,1.0,38,1,18,-0.025641
phase_cued_retrieval,validation,307,alibi,phase_cued_retrieval_validation_seed307_L40_003,40,39,5,29,10,109,0.0,110,0.0,1.0,38,1,56,-0.025641
phase_cued_retrieval,validation,307,alibi,phase_cued_retrieval_validation_seed307_L40_004,40,39,7,31,8,6,0.0,8,0.0,1.0,38,1,72,-0.025641
phase_cued_retrieval,validation,307,alibi,phase_cued_retrieval_validation_seed307_L40_005,40,39,8,32,7,14,0.0,16,0.0,1.0,38,1,43,-0.025641
phase_cued_retrieval,test,307,alibi,phase_cued_retrieval_test_seed307_L48_000,48,47,16,40,7,75,0.0,76,0.0,1.0,46,1,34,-0.021277
phase_cued_retrieval,test,307,alibi,phase_cued_retrieval_test_seed307_L48_001,48,47,19,43,4,85,0.0,86,0.0,1.0,46,1,50,-0.021277
phase_cued_retrieval,test,307,alibi,phase_cued_retrieval_test_seed307_L48_002,48,47,5,29,18,78,0.0,79,0.0,1.0,46,1,17,-0.021277
phase_cued_retrieval,test,307,alibi,phase_cued_retrieval_test_seed307_L48_003,48,47,7,31,16,87,0.0,88,0.0,1.0,46,1,6,-0.021277
phase_cued_retrieval,test,307,alibi,phase_cued_retrieval_test_seed307_L48_004,48,47,8,32,15,95,0.0,96,0.0,1.0,46,1,40,-0.021277
phase_cued_retrieval,test,307,alibi,phase_cued_retrieval_test_seed307_L48_005,48,47,11,35,12,105,0.0,106,0.0,1.0,46,1,77,-0.021277
phase_cued_retrieval,test,307,alibi,phase_cued_retrieval_test_seed307_L64_000,64,63,5,53,10,40,0.0,42,0.0,1.0,62,1,82,-0.015873
phase_cued_retrieval,test,307,alibi,phase_cued_retrieval_test_seed307_L64_001,64,63,7,55,8,49,0.0,51,0.0,1.0,62,1,93,-0.015873
phase_cued_retrieval,test,307,alibi,phase_cued_retrieval_test_seed307_L64_002,64,63,8,56,7,57,0.0,58,0.0,1.0,62,1,26,-0.015873
phase_cued_retrieval,test,307,alibi,phase_cued_retrieval_test_seed307_L64_003,64,63,11,59,4,67,0.0,69,0.0,1.0,62,1,88,-0.015873
phase_cued_retrieval,test,307,alibi,phase_cued_retrieval_test_seed307_L64_004,64,63,12,60,3,75,0.0,77,0.0,1.0,62,1,96,-0.015873
phase_cued_retrieval,test,307,alibi,phase_cued_retrieval_test_seed307_L64_005,64,63,16,40,23,62,0.0,63,0.0,1.0,62,1,50,-0.015873
phase_cued_retrieval,train,307,rope_relative,phase_cued_retrieval_train_seed307_L24_000,24,23,8,8,15,3,1.0,1,1.0,1.0,15,8,3,1.0
phase_cued_retrieval,train,307,rope_relative,phase_cued_retrieval_train_seed307_L24_001,24,23,11,11,12,13,1.0,1,1.0,1.0,12,11,13,1.0
phase_cued_retrieval,train,307,rope_relative,phase_cued_retrieval_train_seed307_L24_002,24,23,12,12,11,21,1.0,1,1.0,1.0,11,12,21,1.0
phase_cued_retrieval,train,307,rope_relative,phase_cued_retrieval_train_seed307_L24_003,24,23,16,16,7,32,1.0,1,1.0,1.0,7,16,32,1.0
phase_cued_retrieval,train,307,rope_relative,phase_cued_retrieval_train_seed307_L24_004,24,23,19,19,4,42,1.0,1,1.0,1.0,4,19,42,1.0
phase_cued_retrieval,train,307,rope_relative,phase_cued_retrieval_train_seed307_L24_005,24,23,5,5,18,35,1.0,1,1.0,1.0,18,5,35,1.0
phase_cued_retrieval,train,307,rope_relative,phase_cued_retrieval_train_seed307_L32_000,32,31,11,11,20,94,1.0,1,1.0,1.0,20,11,94,1.0
phase_cued_retrieval,train,307,rope_relative,phase_cued_retrieval_train_seed307_L32_001,32,31,12,12,19,102,1.0,1,1.0,1.0,19,12,102,1.0
phase_cued_retrieval,train,307,rope_relative,phase_cued_retrieval_train_seed307_L32_002,32,31,16,16,15,1,1.0,1,1.0,1.0,15,16,1,1.0
phase_cued_retrieval,train,307,rope_relative,phase_cued_retrieval_train_seed307_L32_003,32,31,19,19,12,11,1.0,1,1.0,1.0,12,19,11,1.0
phase_cued_retrieval,train,307,rope_relative,phase_cued_retrieval_train_seed307_L32_004,32,31,5,29,2,28,0.0,30,0.0,1.0,26,5,33,1.0
phase_cued_retrieval,train,307,rope_relative,phase_cued_retrieval_train_seed307_L32_005,32,31,7,7,24,13,1.0,1,1.0,1.0,24,7,13,1.0
phase_cued_retrieval,validation,307,rope_relative,phase_cued_retrieval_validation_seed307_L40_000,40,39,12,36,3,95,0.0,96,0.0,1.0,27,12,13,1.0
phase_cued_retrieval,validation,307,rope_relative,phase_cued_retrieval_validation_seed307_L40_001,40,39,16,16,23,82,1.0,1,1.0,1.0,23,16,82,1.0
phase_cued_retrieval,validation,307,rope_relative,phase_cued_retrieval_validation_seed307_L40_002,40,39,19,19,20,92,1.0,1,1.0,1.0,20,19,92,1.0
phase_cued_retrieval,validation,307,rope_relative,phase_cued_retrieval_validation_seed307_L40_003,40,39,5,29,10,109,0.0,110,0.0,1.0,34,5,18,1.0
phase_cued_retrieval,validation,307,rope_relative,phase_cued_retrieval_validation_seed307_L40_004,40,39,7,31,8,6,0.0,8,0.0,1.0,32,7,46,1.0
phase_cued_retrieval,validation,307,rope_relative,phase_cued_retrieval_validation_seed307_L40_005,40,39,8,32,7,14,0.0,16,0.0,1.0,31,8,102,1.0
phase_cued_retrieval,test,307,rope_relative,phase_cued_retrieval_test_seed307_L48_000,48,47,16,40,7,75,0.0,76,0.0,1.0,31,16,68,1.0
phase_cued_retrieval,test,307,rope_relative,phase_cued_retrieval_test_seed307_L48_001,48,47,19,43,4,85,0.0,87,0.0,1.0,28,19,91,1.0
phase_cued_retrieval,test,307,rope_relative,phase_cued_retrieval_test_seed307_L48_002,48,47,5,29,18,78,0.0,80,0.0,1.0,42,5,81,1.0
phase_cued_retrieval,test,307,rope_relative,phase_cued_retrieval_test_seed307_L48_003,48,47,7,31,16,87,0.0,88,0.0,1.0,40,7,39,1.0
phase_cued_retrieval,test,307,rope_relative,phase_cued_retrieval_test_seed307_L48_004,48,47,8,32,15,95,0.0,96,0.0,1.0,39,8,35,1.0
phase_cued_retrieval,test,307,rope_relative,phase_cued_retrieval_test_seed307_L48_005,48,47,11,35,12,105,0.0,106,0.0,1.0,36,11,79,1.0
phase_cued_retrieval,test,307,rope_relative,phase_cued_retrieval_test_seed307_L64_000,64,63,5,53,10,40,0.0,42,0.0,1.0,58,5,78,1.0
phase_cued_retrieval,test,307,rope_relative,phase_cued_retrieval_test_seed307_L64_001,64,63,7,55,8,49,0.0,51,0.0,1.0,56,7,78,1.0
phase_cued_retrieval,test,307,rope_relative,phase_cued_retrieval_test_seed307_L64_002,64,63,8,56,7,57,0.0,59,0.0,1.0,55,8,72,1.0
phase_cued_retrieval,test,307,rope_relative,phase_cued_retrieval_test_seed307_L64_003,64,63,11,59,4,67,0.0,69,0.0,1.0,52,11,72,1.0
phase_cued_retrieval,test,307,rope_relative,phase_cued_retrieval_test_seed307_L64_004,64,63,12,60,3,75,0.0,76,0.0,1.0,51,12,25,1.0
phase_cued_retrieval,test,307,rope_relative,phase_cued_retrieval_test_seed307_L64_005,64,63,16,40,23,62,0.0,63,0.0,1.0,47,16,45,1.0
phase_cued_retrieval,train,307,phasewrap_bias,phase_cued_retrieval_train_seed307_L24_000,24,23,8,8,15,3,0.0,5,0.0,1.0,20,3,13,2.44949
phase_cued_retrieval,train,307,phasewrap_bias,phase_cued_retrieval_train_seed307_L24_001,24,23,11,11,12,13,0.0,15,0.0,1.0,17,6,79,2.44949
phase_cued_retrieval,train,307,phasewrap_bias,phase_cued_retrieval_train_seed307_L24_002,24,23,12,12,11,21,0.0,22,0.0,1.0,16,7,0,2.44949
phase_cued_retrieval,train,307,phasewrap_bias,phase_cued_retrieval_train_seed307_L24_003,24,23,16,16,7,32,0.0,34,0.0,1.0,2,21,101,2.44949
phase_cued_retrieval,train,307,phasewrap_bias,phase_cued_retrieval_train_seed307_L24_004,24,23,19,19,4,42,0.0,44,0.0,1.0,9,14,89,2.44949
phase_cued_retrieval,train,307,phasewrap_bias,phase_cued_retrieval_train_seed307_L24_005,24,23,5,5,18,35,0.0,36,0.0,1.0,13,10,30,2.44949
phase_cued_retrieval,train,307,phasewrap_bias,phase_cued_retrieval_train_seed307_L32_000,32,31,11,11,20,94,0.0,96,0.0,1.0,25,6,110,2.44949
phase_cued_retrieval,train,307,phasewrap_bias,phase_cued_retrieval_train_seed307_L32_001,32,31,12,12,19,102,0.0,103,0.0,1.0,24,7,42,2.44949
phase_cued_retrieval,train,307,phasewrap_bias,phase_cued_retrieval_train_seed307_L32_002,32,31,16,16,15,1,0.0,3,0.0,1.0,10,21,60,2.44949
phase_cued_retrieval,train,307,phasewrap_bias,phase_cued_retrieval_train_seed307_L32_003,32,31,19,19,12,11,0.0,12,0.0,1.0,17,14,6,2.44949
phase_cued_retrieval,train,307,phasewrap_bias,phase_cued_retrieval_train_seed307_L32_004,32,31,5,29,2,28,0.0,30,0.0,1.0,7,24,75,2.44949
phase_cued_retrieval,train,307,phasewrap_bias,phase_cued_retrieval_train_seed307_L32_005,32,31,7,7,24,13,0.0,15,0.0,1.0,5,26,94,2.44949
phase_cued_retrieval,validation,307,phasewrap_bias,phase_cued_retrieval_validation_seed307_L40_000,40,39,12,36,3,95,0.0,96,0.0,1.0,32,7,27,2.44949
phase_cued_retrieval,validation,307,phasewrap_bias,phase_cued_retrieval_validation_seed307_L40_001,40,39,16,16,23,82,0.0,83,0.0,1.0,18,21,56,2.44949
phase_cued_retrieval,validation,307,phasewrap_bias,phase_cued_retrieval_validation_seed307_L40_002,40,39,19,19,20,92,0.0,94,0.0,1.0,25,14,97,2.44949
phase_cued_retrieval,validation,307,phasewrap_bias,phase_cued_retrieval_validation_seed307_L40_003,40,39,5,29,10,109,0.0,110,0.0,1.0,15,24,55,2.44949
phase_cued_retrieval,validation,307,phasewrap_bias,phase_cued_retrieval_validation_seed307_L40_004,40,39,7,31,8,6,0.0,8,0.0,1.0,13,26,60,2.44949
phase_cued_retrieval,validation,307,phasewrap_bias,phase_cued_retrieval_validation_seed307_L40_005,40,39,8,32,7,14,0.0,16,0.0,1.0,36,3,105,2.44949
phase_cued_retrieval,test,307,phasewrap_bias,phase_cued_retrieval_test_seed307_L48_000,48,47,16,40,7,75,0.0,76,0.0,1.0,2,45,36,2.44949
phase_cued_retrieval,test,307,phasewrap_bias,phase_cued_retrieval_test_seed307_L48_001,48,47,19,43,4,85,0.0,86,0.0,1.0,33,14,62,2.44949
phase_cued_retrieval,test,307,phasewrap_bias,phase_cued_retrieval_test_seed307_L48_002,48,47,5,29,18,78,0.0,79,0.0,1.0,23,24,2,2.44949
phase_cued_retrieval,test,307,phasewrap_bias,phase_cued_retrieval_test_seed307_L48_003,48,47,7,31,16,87,0.0,89,0.0,1.0,21,26,95,2.44949
phase_cued_retrieval,test,307,phasewrap_bias,phase_cued_retrieval_test_seed307_L48_004,48,47,8,32,15,95,0.0,96,0.0,1.0,44,3,79,2.44949
phase_cued_retrieval,test,307,phasewrap_bias,phase_cued_retrieval_test_seed307_L48_005,48,47,11,35,12,105,0.0,106,0.0,1.0,41,6,24,2.44949
phase_cued_retrieval,test,307,phasewrap_bias,phase_cued_retrieval_test_seed307_L64_000,64,63,5,53,10,40,0.0,41,0.0,1.0,15,48,3,2.44949
phase_cued_retrieval,test,307,phasewrap_bias,phase_cued_retrieval_test_seed307_L64_001,64,63,7,55,8,49,0.0,50,0.0,1.0,3,60,12,2.44949
phase_cued_retrieval,test,307,phasewrap_bias,phase_cued_retrieval_test_seed307_L64_002,64,63,8,56,7,57,0.0,58,0.0,1.0,12,51,55,2.44949
phase_cued_retrieval,test,307,phasewrap_bias,phase_cued_retrieval_test_seed307_L64_003,64,63,11,59,4,67,0.0,69,0.0,1.0,57,6,85,2.44949
phase_cued_retrieval,test,307,phasewrap_bias,phase_cued_retrieval_test_seed307_L64_004,64,63,12,60,3,75,0.0,76,0.0,1.0,8,55,39,2.44949
phase_cued_retrieval,test,307,phasewrap_bias,phase_cued_retrieval_test_seed307_L64_005,64,63,16,40,23,62,0.0,64,0.0,1.0,18,45,64,2.44949
phase_cued_retrieval,train,307,phasewrap_adapter,phase_cued_retrieval_train_seed307_L24_000,24,23,8,8,15,3,0.0,5,0.0,1.0,20,3,13,2.395142
phase_cued_retrieval,train,307,phasewrap_adapter,phase_cued_retrieval_train_seed307_L24_001,24,23,11,11,12,13,0.0,15,0.0,1.0,17,6,79,2.395142
phase_cued_retrieval,train,307,phasewrap_adapter,phase_cued_retrieval_train_seed307_L24_002,24,23,12,12,11,21,0.0,22,0.0,1.0,16,7,0,2.395142
phase_cued_retrieval,train,307,phasewrap_adapter,phase_cued_retrieval_train_seed307_L24_003,24,23,16,16,7,32,0.0,34,0.0,1.0,2,21,101,2.395142
phase_cued_retrieval,train,307,phasewrap_adapter,phase_cued_retrieval_train_seed307_L24_004,24,23,19,19,4,42,0.0,44,0.0,1.0,9,14,89,2.395142
phase_cued_retrieval,train,307,phasewrap_adapter,phase_cued_retrieval_train_seed307_L24_005,24,23,5,5,18,35,0.0,36,0.0,1.0,13,10,30,2.395142
phase_cued_retrieval,train,307,phasewrap_adapter,phase_cued_retrieval_train_seed307_L32_000,32,31,11,11,20,94,0.0,96,0.0,1.0,25,6,110,2.409167
phase_cued_retrieval,train,307,phasewrap_adapter,phase_cued_retrieval_train_seed307_L32_001,32,31,12,12,19,102,0.0,103,0.0,1.0,24,7,42,2.409167
phase_cued_retrieval,train,307,phasewrap_adapter,phase_cued_retrieval_train_seed307_L32_002,32,31,16,16,15,1,0.0,3,0.0,1.0,10,21,60,2.409167
phase_cued_retrieval,train,307,phasewrap_adapter,phase_cued_retrieval_train_seed307_L32_003,32,31,19,19,12,11,0.0,12,0.0,1.0,17,14,6,2.409167
phase_cued_retrieval,train,307,phasewrap_adapter,phase_cued_retrieval_train_seed307_L32_004,32,31,5,29,2,28,0.0,30,0.0,1.0,21,10,97,2.409167
phase_cued_retrieval,train,307,phasewrap_adapter,phase_cued_retrieval_train_seed307_L32_005,32,31,7,7,24,13,1.0,1,1.0,1.0,19,12,13,2.409167
phase_cued_retrieval,validation,307,phasewrap_adapter,phase_cued_retrieval_validation_seed307_L40_000,40,39,12,36,3,95,0.0,96,0.0,1.0,32,7,27,2.417438
phase_cued_retrieval,validation,307,phasewrap_adapter,phase_cued_retrieval_validation_seed307_L40_001,40,39,16,16,23,82,0.0,83,0.0,1.0,18,21,56,2.417438
phase_cued_retrieval,validation,307,phasewrap_adapter,phase_cued_retrieval_validation_seed307_L40_002,40,39,19,19,20,92,0.0,94,0.0,1.0,25,14,97,2.417438
phase_cued_retrieval,validation,307,phasewrap_adapter,phase_cued_retrieval_validation_seed307_L40_003,40,39,5,29,10,109,0.0,110,0.0,1.0,29,10,28,2.417438
phase_cued_retrieval,validation,307,phasewrap_adapter,phase_cued_retrieval_validation_seed307_L40_004,40,39,7,31,8,6,0.0,8,0.0,1.0,27,12,46,2.417438
phase_cued_retrieval,validation,307,phasewrap_adapter,phase_cued_retrieval_validation_seed307_L40_005,40,39,8,32,7,14,0.0,16,0.0,1.0,36,3,105,2.417438
phase_cued_retrieval,test,307,phasewrap_adapter,phase_cued_retrieval_test_seed307_L48_000,48,47,16,40,7,75,0.0,77,0.0,1.0,26,21,85,2.422894
phase_cued_retrieval,test,307,phasewrap_adapter,phase_cued_retrieval_test_seed307_L48_001,48,47,19,43,4,85,0.0,86,0.0,1.0,33,14,62,2.422894
phase_cued_retrieval,test,307,phasewrap_adapter,phase_cued_retrieval_test_seed307_L48_002,48,47,5,29,18,78,0.0,79,0.0,1.0,37,10,11,2.422894
