task,seed,method,stage10_method_alias,epochs,learning_rate,optimizer,auxiliary_task,base_train_row_count,auxiliary_train_row_count,train_row_count,validation_row_count,test_row_count,final_training_loss,learned_position_scale,learned_copy_gate,train_loss,train_perplexity,train_top1_accuracy,train_mrr,train_mean_target_probability,train_mean_top1_confidence,train_expected_calibration_error,train_mean_copy_gate,validation_loss,validation_perplexity,validation_top1_accuracy,validation_mrr,validation_mean_target_probability,validation_mean_top1_confidence,validation_expected_calibration_error,validation_mean_copy_gate,test_loss,test_perplexity,test_top1_accuracy,test_mrr,test_mean_target_probability,test_mean_top1_confidence,test_expected_calibration_error,test_mean_copy_gate
phase_cued_retrieval,311,phasewrap_bias,phasewrap_bias,80,0.03,full_batch_adam,content_key_retrieval,12,12,24,6,12,0.407415,-0.013114,0.935148,0.743562,2.103414,0.75,0.833333,0.714698,0.860894,0.110894,0.935148,10.858447,51971.311806,0.0,0.02569,0.000154,0.64754,0.64754,0.935148,9.106142,9010.462612,0.0,0.070624,0.003315,0.712804,0.712804,0.935148
phase_cued_retrieval,311,phasewrap_adapter,phasewrap_adapter,80,0.03,full_batch_adam,content_key_retrieval,12,12,24,6,12,0.296062,0.003964,0.948059,0.503812,1.655018,0.833333,0.888889,0.766301,0.830134,0.163495,0.948059,11.099767,66155.735511,0.0,0.029594,0.000104,0.756761,0.756761,0.948059,9.84238,18814.440801,0.0,0.043916,0.001405,0.705082,0.705082,0.948059
phase_cued_retrieval,313,no_position,no_position,80,0.03,full_batch_adam,content_key_retrieval,12,12,24,6,12,0.555654,1.0,0.930909,0.999762,2.717636,0.583333,0.763889,0.526383,0.645192,0.139093,0.930909,12.178928,194644.0074,0.0,0.05731,0.002829,0.670241,0.670241,0.930909,14.460084,1905174.156669,0.0,0.029649,0.000511,0.761644,0.761644,0.930909
phase_cued_retrieval,313,sinusoidal,sinusoidal,80,0.03,full_batch_adam,content_key_retrieval,12,12,24,6,12,0.150292,2.967254,0.965769,0.226737,1.254499,1.0,1.0,0.80746,0.80746,0.19254,0.965769,9.540218,13907.977681,0.166667,0.194469,0.103264,0.766455,0.733374,0.965769,11.93094,151894.337704,0.0,0.040304,0.0057,0.85884,0.85884,0.965769
phase_cued_retrieval,313,alibi,alibi,80,0.03,full_batch_adam,content_key_retrieval,12,12,24,6,12,0.635042,-0.262084,0.935385,1.16267,3.198463,0.583333,0.711806,0.456577,0.591078,0.187467,0.935385,15.134666,3740261.028793,0.0,0.021484,0.000682,0.645563,0.645563,0.935385,15.134084,3738083.474182,0.0,0.037165,0.005654,0.724147,0.724147,0.935385
phase_cued_retrieval,313,rope_relative,rope,80,0.03,full_batch_adam,content_key_retrieval,12,12,24,6,12,0.451733,3.016479,0.949781,0.844124,2.325939,0.75,0.875,0.601101,0.687959,0.29203,0.949781,17.369878,34965695.244925,0.0,0.023518,0.003809,0.739007,0.739007,0.949781,17.915652,60348809.650447,0.0,0.018777,4.2e-05,0.763352,0.763352,0.949781
phase_cued_retrieval,313,phasewrap_bias,phasewrap_bias,80,0.03,full_batch_adam,content_key_retrieval,12,12,24,6,12,0.830916,-0.006926,0.8299,1.38671,4.001661,0.5,0.672222,0.397548,0.62451,0.19957,0.8299,10.059929,23386.854652,0.0,0.019547,0.000282,0.705629,0.705629,0.8299,9.585494,14552.144979,0.0,0.02338,0.000226,0.71866,0.71866,0.8299
phase_cued_retrieval,313,phasewrap_adapter,phasewrap_adapter,80,0.03,full_batch_adam,content_key_retrieval,12,12,24,6,12,0.829974,0.041885,0.829983,1.386551,4.001027,0.5,0.680556,0.395783,0.627944,0.278097,0.829983,10.199435,26887.995125,0.0,0.020266,0.00028,0.734563,0.734563,0.829983,9.730855,16828.926554,0.0,0.025667,0.000221,0.744249,0.744249,0.829983
phase_cued_retrieval,317,no_position,no_position,80,0.03,full_batch_adam,content_key_retrieval,12,12,24,6,12,0.250926,1.0,0.962609,0.457213,1.579665,0.666667,0.819444,0.723023,0.773226,0.194238,0.962609,12.08649,177458.207364,0.0,0.010175,1.7e-05,0.841731,0.841731,0.962609,9.747484,17111.128178,0.0,0.062446,0.008493,0.842403,0.842403,0.962609
phase_cued_retrieval,317,sinusoidal,sinusoidal,80,0.03,full_batch_adam,content_key_retrieval,12,12,24,6,12,0.088598,2.407834,0.964923,0.138855,1.148958,1.0,1.0,0.876271,0.876271,0.123729,0.964923,12.196791,198152.331332,0.0,0.133328,0.017017,0.743321,0.743321,0.964923,12.805611,364255.743609,0.0,0.041779,0.001022,0.880259,0.880259,0.964923
phase_cued_retrieval,317,alibi,alibi,80,0.03,full_batch_adam,content_key_retrieval,12,12,24,6,12,0.255613,0.961109,0.961506,0.467131,1.59541,0.75,0.861111,0.706827,0.758095,0.242135,0.961506,15.020371,3336294.198573,0.0,0.020833,2e-06,0.783133,0.783133,0.961506,11.303469,81102.493215,0.0,0.06362,0.006158,0.836039,0.836039,0.961506
phase_cued_retrieval,317,rope_relative,rope,80,0.03,full_batch_adam,content_key_retrieval,12,12,24,6,12,0.204519,2.409323,0.962795,0.370074,1.447841,0.833333,0.916667,0.74643,0.759687,0.129925,0.962795,13.904187,1092726.727707,0.0,0.022706,0.000186,0.765924,0.765924,0.962795,12.101649,180168.708747,0.0,0.041742,0.001163,0.800467,0.800467,0.962795
phase_cued_retrieval,317,phasewrap_bias,phasewrap_bias,80,0.03,full_batch_adam,content_key_retrieval,12,12,24,6,12,0.329639,0.176508,0.953268,0.515285,1.674115,0.833333,0.902778,0.774622,0.875145,0.117726,0.953268,12.510743,271235.647997,0.0,0.046184,7.6e-05,0.872837,0.872837,0.953268,12.39393,241332.254845,0.0,0.033365,0.000138,0.847442,0.847442,0.953268
phase_cued_retrieval,317,phasewrap_adapter,phasewrap_adapter,80,0.03,full_batch_adam,content_key_retrieval,12,12,24,6,12,0.329992,0.205541,0.953444,0.52254,1.686305,0.833333,0.902778,0.772357,0.874517,0.121079,0.953444,12.090362,178146.62838,0.0,0.046556,5.8e-05,0.9276,0.9276,0.953444,11.954015,155439.975985,0.0,0.032766,0.000107,0.858788,0.858788,0.953444
phase_cued_retrieval,331,no_position,no_position,80,0.03,full_batch_adam,content_key_retrieval,12,12,24,6,12,0.116352,1.0,0.964982,0.199058,1.220253,0.916667,0.958333,0.851334,0.856078,0.067099,0.964982,11.867407,142544.169917,0.0,0.079385,0.001151,0.95445,0.95445,0.964982,11.68601,118896.632356,0.0,0.081364,0.039184,0.609601,0.609601,0.964982
phase_cued_retrieval,331,sinusoidal,sinusoidal,80,0.03,full_batch_adam,content_key_retrieval,12,12,24,6,12,0.040532,2.293549,0.965834,0.046813,1.047926,1.0,1.0,0.954558,0.954558,0.045442,0.965834,13.412534,668327.802286,0.0,0.129485,0.003215,0.941235,0.941235,0.965834,12.592881,294454.942864,0.0,0.070584,0.00021,0.798497,0.798497,0.965834
phase_cued_retrieval,331,alibi,alibi,80,0.03,full_batch_adam,content_key_retrieval,12,12,24,6,12,0.031049,0.949678,0.965862,0.029317,1.029751,1.0,1.0,0.971178,0.971178,0.028822,0.965862,11.485153,97260.950209,0.0,0.042244,1.6e-05,0.787093,0.787093,0.965862,12.420807,247906.40869,0.0,0.01729,1e-05,0.785242,0.785242,0.965862
phase_cued_retrieval,331,rope_relative,rope,80,0.03,full_batch_adam,content_key_retrieval,12,12,24,6,12,0.077282,2.327347,0.965081,0.120857,1.128464,1.0,1.0,0.896444,0.896444,0.103556,0.965081,11.775965,130087.873482,0.0,0.072175,2e-05,0.882664,0.882664,0.965081,12.435707,251628.010531,0.0,0.03332,0.000475,0.767454,0.767454,0.965081
phase_cued_retrieval,331,phasewrap_bias,phasewrap_bias,80,0.03,full_batch_adam,content_key_retrieval,12,12,24,6,12,0.209834,0.060105,0.966164,0.385481,1.470321,0.75,0.875,0.772108,0.781083,0.224429,0.966164,13.706153,896410.10281,0.0,0.040749,4e-06,0.739014,0.739014,0.966164,12.587661,292921.776917,0.083333,0.112637,0.031082,0.680971,0.702196,0.966164
phase_cued_retrieval,331,phasewrap_adapter,phasewrap_adapter,80,0.03,full_batch_adam,content_key_retrieval,12,12,24,6,12,0.207657,0.102365,0.966516,0.382905,1.466539,0.666667,0.819444,0.770438,0.789156,0.170148,0.966516,12.056794,172265.857724,0.0,0.044908,8e-06,0.708662,0.708662,0.966516,11.477819,96550.306567,0.0,0.073727,0.031009,0.705249,0.705249,0.966516
exact_offset_passkey,307,no_position,no_position,80,0.03,full_batch_adam,content_key_retrieval,12,12,24,6,12,0.397743,1.0,0.959423,0.658075,1.931072,0.583333,0.756944,0.642031,0.68815,0.19251,0.959423,9.636554,15314.480523,0.0,0.093798,0.001604,0.70756,0.70756,0.959423,7.698748,2205.585421,0.0,0.073845,0.01195,0.422505,0.422505,0.959423
exact_offset_passkey,307,sinusoidal,sinusoidal,80,0.03,full_batch_adam,content_key_retrieval,12,12,24,6,12,0.118126,2.577679,0.964641,0.18318,1.20103,1.0,1.0,0.860843,0.860843,0.139157,0.964641,9.422749,12366.527549,0.0,0.069308,0.008522,0.62096,0.62096,0.964641,9.42448,12387.957341,0.166667,0.201198,0.056899,0.590445,0.583556,0.964641
exact_offset_passkey,307,alibi,alibi,80,0.03,full_batch_adam,content_key_retrieval,12,12,24,6,12,0.395273,0.719939,0.954344,0.652143,1.919651,0.75,0.854167,0.652422,0.696088,0.25791,0.954344,10.985739,59026.326074,0.0,0.093096,0.003483,0.646184,0.646184,0.954344,8.927511,7536.48311,0.0,0.086952,0.009328,0.422048,0.422048,0.954344
exact_offset_passkey,307,rope_relative,rope,80,0.03,full_batch_adam,content_key_retrieval,12,12,24,6,12,0.243141,2.708588,0.964318,0.400217,1.492148,0.916667,0.958333,0.73611,0.753128,0.25092,0.964318,8.592621,5391.726392,0.0,0.067145,0.014218,0.653358,0.653358,0.964318,11.12632,67935.924059,0.0,0.049274,0.000311,0.579963,0.579963,0.964318
exact_offset_passkey,307,phasewrap_bias,phasewrap_bias,80,0.03,full_batch_adam,content_key_retrieval,12,12,24,6,12,0.286469,-0.076505,0.963072,0.467652,1.596241,0.666667,0.819444,0.726497,0.777154,0.178068,0.963072,8.605986,5464.271106,0.0,0.024354,0.000246,0.759116,0.759116,0.963072,6.361087,578.875001,0.083333,0.155175,0.057177,0.52976,0.476557,0.963072
exact_offset_passkey,307,phasewrap_adapter,phasewrap_adapter,80,0.03,full_batch_adam,content_key_retrieval,12,12,24,6,12,0.263341,-0.073477,0.96432,0.42228,1.525435,0.75,0.861111,0.745053,0.778649,0.175055,0.96432,8.531246,5070.760125,0.0,0.023245,0.000253,0.753876,0.753876,0.96432,6.230016,507.763841,0.083333,0.174657,0.062938,0.531452,0.546234,0.96432
exact_offset_passkey,311,no_position,no_position,80,0.03,full_batch_adam,content_key_retrieval,12,12,24,6,12,0.138054,1.0,0.96543,0.164882,1.179254,0.916667,0.958333,0.870348,0.878712,0.128853,0.96543,10.981812,58794.970654,0.0,0.029272,1.8e-05,0.948685,0.948685,0.96543,10.785187,48300.0137,0.0,0.02735,2.4e-05,0.916761,0.916761,0.96543
exact_offset_passkey,311,sinusoidal,sinusoidal,80,0.03,full_batch_adam,content_key_retrieval,12,12,24,6,12,0.145056,1.652914,0.965487,0.14899,1.160661,0.916667,0.958333,0.896667,0.928496,0.100369,0.965487,13.527741,749934.686418,0.0,0.070971,0.000311,0.954226,0.954226,0.965487,14.798849,2673365.500235,0.0,0.036705,0.000176,0.88884,0.88884,0.965487
exact_offset_passkey,311,alibi,alibi,80,0.03,full_batch_adam,content_key_retrieval,12,12,24,6,12,0.140254,0.427,0.965412,0.171043,1.186542,0.916667,0.958333,0.867942,0.88344,0.131018,0.965412,15.595077,5927287.618706,0.0,0.019981,2e-06,0.947056,0.947056,0.965412,15.20367,4007466.150443,0.0,0.0317,3e-06,0.915199,0.915199,0.965412
exact_offset_passkey,311,rope_relative,rope,80,0.03,full_batch_adam,content_key_retrieval,12,12,24,6,12,0.136288,1.855015,0.964683,0.16636,1.180998,0.916667,0.958333,0.874442,0.89726,0.072944,0.964683,13.019358,451061.077328,0.0,0.037723,2e-06,0.949529,0.949529,0.964683,12.839588,376844.588878,0.0,0.018969,3e-06,0.90345,0.90345,0.964683
exact_offset_passkey,311,phasewrap_bias,phasewrap_bias,80,0.03,full_batch_adam,content_key_retrieval,12,12,24,6,12,0.196872,0.220399,0.96929,0.265114,1.30358,1.0,1.0,0.81448,0.81448,0.18552,0.96929,9.145146,9368.856452,0.0,0.045092,0.00025,0.968972,0.968972,0.96929,8.885428,7225.905837,0.0,0.028121,0.002656,0.844362,0.844362,0.96929
exact_offset_passkey,311,phasewrap_adapter,phasewrap_adapter,80,0.03,full_batch_adam,content_key_retrieval,12,12,24,6,12,0.196831,0.229599,0.969109,0.266335,1.305173,1.0,1.0,0.814225,0.814225,0.185775,0.969109,9.12315,9165.026862,0.0,0.045045,0.000251,0.968793,0.968793,0.969109,8.879148,7180.669974,0.0,0.028037,0.002686,0.851905,0.851905,0.969109
exact_offset_passkey,313,no_position,no_position,80,0.03,full_batch_adam,content_key_retrieval,12,12,24,6,12,0.258052,1.0,0.963734,0.473953,1.606332,0.75,0.840278,0.771783,0.801325,0.116768,0.963734,13.740232,927485.519969,0.0,0.037248,0.000609,0.908862,0.908862,0.963734,15.122236,3694058.119401,0.0,0.023446,3e-05,0.771373,0.771373,0.963734
exact_offset_passkey,313,sinusoidal,sinusoidal,80,0.03,full_batch_adam,content_key_retrieval,12,12,24,6,12,0.147329,2.649954,0.965743,0.252847,1.287687,1.0,1.0,0.825894,0.825894,0.174106,0.965743,11.1136,67077.210692,0.0,0.098786,0.02718,0.728109,0.728109,0.965743,12.911792,405060.61879,0.0,0.032954,0.002529,0.781074,0.781074,0.965743
exact_offset_passkey,313,alibi,alibi,80,0.03,full_batch_adam,content_key_retrieval,12,12,24,6,12,0.234082,1.671206,0.963883,0.427806,1.533888,0.833333,0.881944,0.789551,0.80032,0.106264,0.963883,14.030183,1239456.455902,0.0,0.051623,0.01349,0.813369,0.813369,0.963883,15.360065,4685883.659786,0.0,0.025286,3.8e-05,0.735648,0.735648,0.963883
exact_offset_passkey,313,rope_relative,rope,80,0.03,full_batch_adam,content_key_retrieval,12,12,24,6,12,0.206073,2.540632,0.964097,0.369029,1.44633,0.916667,0.958333,0.802204,0.804959,0.165369,0.964097,14.054334,1269753.893994,0.0,0.057697,0.012865,0.882672,0.882672,0.964097,15.960628,8543042.163051,0.0,0.031812,4.1e-05,0.769624,0.769624,0.964097
exact_offset_passkey,313,phasewrap_bias,phasewrap_bias,80,0.03,full_batch_adam,content_key_retrieval,12,12,24,6,12,0.171149,0.268288,0.967974,0.260443,1.297505,0.833333,0.916667,0.852924,0.897889,0.123269,0.967974,12.16488,191928.940502,0.0,0.036761,0.002197,0.865782,0.865782,0.967974,12.593041,294502.00675,0.0,0.040224,5.2e-05,0.830045,0.830045,0.967974
exact_offset_passkey,313,phasewrap_adapter,phasewrap_adapter,80,0.03,full_batch_adam,content_key_retrieval,12,12,24,6,12,0.173332,0.280907,0.968475,0.386243,1.471442,0.833333,0.882576,0.831757,0.844765,0.083816,0.968475,13.521309,745126.603679,0.0,0.046821,0.000608,0.886293,0.886293,0.968475,14.530624,2044417.924464,0.0,0.03794,2.7e-05,0.849653,0.849653,0.968475
exact_offset_passkey,317,no_position,no_position,80,0.03,full_batch_adam,content_key_retrieval,12,12,24,6,12,0.174112,1.0,0.949768,0.296515,1.345162,0.916667,0.958333,0.874825,0.949748,0.033082,0.949768,15.499837,5388818.714116,0.0,0.051749,1e-06,0.781467,0.781467,0.949768,16.181909,10658931.968469,0.0,0.032113,2e-06,0.912267,0.912267,0.949768
exact_offset_passkey,317,sinusoidal,sinusoidal,80,0.03,full_batch_adam,content_key_retrieval,12,12,24,6,12,0.197258,2.364522,0.964552,0.243639,1.275884,0.916667,0.958333,0.820979,0.823708,0.157433,0.964552,16.73403,18513851.631982,0.0,0.03702,2e-06,0.770066,0.770066,0.964552,17.765432,51931287.11626,0.0,0.033516,2e-06,0.922128,0.922128,0.964552
exact_offset_passkey,317,alibi,alibi,80,0.03,full_batch_adam,content_key_retrieval,12,12,24,6,12,0.173989,0.173045,0.949749,0.296174,1.344704,0.916667,0.958333,0.875113,0.950026,0.033359,0.949749,15.832483,7515533.46699,0.0,0.05863,1e-06,0.766534,0.766534,0.949749,16.103349,9853612.984296,0.0,0.027751,2e-06,0.862391,0.862391,0.949749
exact_offset_passkey,317,rope_relative,rope,80,0.03,full_batch_adam,content_key_retrieval,12,12,24,6,12,0.172089,1.980048,0.949588,0.292277,1.339475,0.916667,0.958333,0.878667,0.953596,0.03693,0.949588,16.702095,17931954.187261,0.0,0.047154,0.0,0.734847,0.734847,0.949588,17.353577,34400356.266084,0.0,0.029962,0.0,0.882097,0.882097,0.949588
exact_offset_passkey,317,phasewrap_bias,phasewrap_bias,80,0.03,full_batch_adam,content_key_retrieval,12,12,24,6,12,0.173384,0.197136,0.954334,0.300351,1.350332,0.916667,0.958333,0.878406,0.954098,0.037431,0.954334,14.076709,1298485.296422,0.0,0.062287,4e-06,0.740035,0.740035,0.954334,14.5379,2059348.644685,0.0,0.040106,2.5e-05,0.944108,0.944108,0.954334
exact_offset_passkey,317,phasewrap_adapter,phasewrap_adapter,80,0.03,full_batch_adam,content_key_retrieval,12,12,24,6,12,0.026032,0.157403,0.971436,0.024056,1.024347,1.0,1.0,0.97626,0.97626,0.02374,0.971436,9.958086,21122.338299,0.0,0.044867,0.000578,0.760661,0.760661,0.971436,11.410789,90290.620772,0.0,0.03089,0.000119,0.948537,0.948537,0.971436
exact_offset_passkey,331,no_position,no_position,80,0.03,full_batch_adam,content_key_retrieval,12,12,24,6,12,0.254906,1.0,0.963665,0.474709,1.607546,0.75,0.875,0.674436,0.70828,0.142291,0.963665,15.350589,4641691.655979,0.0,0.014098,0.0,0.872455,0.872455,0.963665,14.174472,1431840.965344,0.0,0.024602,8e-06,0.72694,0.72694,0.963665
exact_offset_passkey,331,sinusoidal,sinusoidal,80,0.03,full_batch_adam,content_key_retrieval,12,12,24,6,12,0.063071,2.417761,0.965768,0.092729,1.097164,1.0,1.0,0.918872,0.918872,0.081128,0.965768,12.001485,162996.584981,0.0,0.030146,3.1e-05,0.929631,0.929631,0.965768,12.077641,175894.803557,0.0,0.040797,0.000297,0.781187,0.781187,0.965768
exact_offset_passkey,331,alibi,alibi,80,0.03,full_batch_adam,content_key_retrieval,12,12,24,6,12,0.285902,-0.842598,0.961419,0.529854,1.698684,0.75,0.875,0.65053,0.694353,0.222127,0.961419,13.256116,571555.074621,0.0,0.013061,2e-06,0.894232,0.894232,0.961419,10.591305,39787.395968,0.0,0.033156,0.001,0.756819,0.756819,0.961419
exact_offset_passkey,331,rope_relative,rope,80,0.03,full_batch_adam,content_key_retrieval,12,12,24,6,12,0.142813,2.735208,0.962494,0.248421,1.281999,1.0,1.0,0.800202,0.800202,0.199798,0.962494,14.570899,2128438.048929,0.0,0.024294,0.0,0.82349,0.82349,0.962494,14.181244,1441570.604383,0.0,0.023499,1e-05,0.794861,0.794861,0.962494
exact_offset_passkey,331,phasewrap_bias,phasewrap_bias,80,0.03,full_batch_adam,content_key_retrieval,12,12,24,6,12,0.242056,0.064111,0.967455,0.448084,1.56531,0.75,0.861111,0.706819,0.734169,0.228753,0.967455,13.982175,1181357.277207,0.0,0.013158,1e-06,0.779019,0.779019,0.967455,12.211428,201074.009927,0.0,0.024014,8.4e-05,0.736744,0.736744,0.967455
exact_offset_passkey,331,phasewrap_adapter,phasewrap_adapter,80,0.03,full_batch_adam,content_key_retrieval,12,12,24,6,12,0.245964,0.113967,0.967281,0.456256,1.578154,0.75,0.861111,0.703372,0.733459,0.234181,0.967281,13.946233,1139651.929939,0.0,0.012972,1e-06,0.789501,0.789501,0.967281,12.239666,206832.774154,0.0,0.022745,9.4e-05,0.746474,0.746474,0.967281
tiny_text_fact_qa,307,no_position,no_position,80,0.03,full_batch_adam,content_key_retrieval,12,12,24,6,12,0.116588,1.0,0.966379,0.201213,1.222885,0.916667,0.958333,0.850582,0.859655,0.146616,0.966379,4.852598,128.072654,0.666667,0.669554,0.598338,0.864776,0.198109,0.966379,5.951467,384.31691,0.5,0.545298,0.426198,0.84786,0.497962,0.966379
tiny_text_fact_qa,307,sinusoidal,sinusoidal,80,0.03,full_batch_adam,content_key_retrieval,12,12,24,6,12,0.052747,1.924988,0.965652,0.072465,1.075155,1.0,1.0,0.932056,0.932056,0.067944,0.965652,3.38578,29.541037,0.666667,0.723659,0.626593,0.893863,0.27314,0.965652,3.573744,35.649808,0.583333,0.695887,0.528177,0.877775,0.328627,0.965652
tiny_text_fact_qa,307,alibi,alibi,80,0.03,full_batch_adam,content_key_retrieval,12,12,24,6,12,0.106688,1.258681,0.966403,0.181041,1.198464,0.916667,0.958333,0.861321,0.865145,0.135879,0.966403,4.826382,124.758794,0.666667,0.669566,0.624591,0.914574,0.298461,0.966403,6.107868,449.379823,0.416667,0.503625,0.417842,0.871535,0.510879,0.966403
tiny_text_fact_qa,307,rope_relative,rope,80,0.03,full_batch_adam,content_key_retrieval,12,12,24,6,12,0.088552,2.139957,0.966097,0.144683,1.155673,1.0,1.0,0.880545,0.880545,0.119455,0.966097,4.70135,110.095723,0.666667,0.669554,0.609336,0.874704,0.288798,0.966097,5.439639,230.359122,0.5,0.546372,0.481594,0.8652,0.443812,0.966097
tiny_text_fact_qa,307,phasewrap_bias,phasewrap_bias,80,0.03,full_batch_adam,content_key_retrieval,12,12,24,6,12,0.108649,0.333261,0.969766,0.19063,1.210012,0.916667,0.958333,0.857011,0.864888,0.14047,0.969766,5.111143,165.859815,0.666667,0.709783,0.606685,0.851645,0.274713,0.969766,6.437582,624.893939,0.416667,0.584746,0.400616,0.854085,0.437419,0.969766
tiny_text_fact_qa,307,phasewrap_adapter,phasewrap_adapter,80,0.03,full_batch_adam,content_key_retrieval,12,12,24,6,12,0.107268,0.35248,0.969571,0.187599,1.20635,0.916667,0.958333,0.858419,0.862986,0.139045,0.969571,5.168904,175.722189,0.666667,0.709783,0.605275,0.85111,0.276801,0.969571,6.471673,646.564759,0.416667,0.584746,0.402611,0.853862,0.437195,0.969571
tiny_text_fact_qa,311,no_position,no_position,80,0.03,full_batch_adam,content_key_retrieval,12,12,24,6,12,0.087153,1.0,0.965941,0.141684,1.152212,0.916667,0.958333,0.891064,0.893754,0.028243,0.965941,5.161242,174.380857,0.333333,0.541667,0.32767,0.960443,0.62711,0.965941,3.600978,36.634047,0.5,0.655556,0.499035,0.913317,0.413317,0.965941
tiny_text_fact_qa,311,sinusoidal,sinusoidal,80,0.03,full_batch_adam,content_key_retrieval,12,12,24,6,12,0.049666,1.817678,0.966497,0.06675,1.069029,1.0,1.0,0.938076,0.938076,0.061924,0.966497,3.571888,35.583712,0.333333,0.561111,0.329687,0.941618,0.608284,0.966497,2.415299,11.193112,0.583333,0.68128,0.545793,0.841292,0.257959,0.966497
